family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,17,0.00,0.00,ea306fb5
system,mod_plane_2x_center,314850,320915,32.79,33.42,ce4afc9a
system,synth_1_voice,59301,60203,6.17,6.27,42bccc87
system,synth_2_voices,103741,105228,10.80,10.96,d8de180d
system,synth_4_voices,186892,189586,19.46,19.74,e9a1c12b
system,fx_grit,54859,55534,5.71,5.78,087b7265
system,fx_flux_sdram,108373,152241,11.28,15.85,afc899db
system,fx_comp,40645,40849,4.23,4.25,c7e77d03
system,oliverb_solo_sram,182928,186218,19.05,19.39,e2b0ed6b
system,instrument_init,1157384,1290179,120.56,134.39,c74cd458
system,instrument_worst,1527630,1584837,159.12,165.08,15ebbc62
voice,morph_osc_bare,8143,8486,0.84,0.88,283a1d87
voice,modal_voice,360955,361802,37.59,37.68,86f76dcb
voice,string_voice,114818,123570,11.96,12.87,e52ad638
voice,resonator,328726,329279,34.24,34.29,ca6f6722
voice,formant_osc,17270,17466,1.79,1.81,5a1e5767
voice,vosim_osc,54824,55201,5.71,5.75,4f6c0bbb
voice,harmonic_osc,28538,29036,2.97,3.02,4deccc28
voice,grainlet_osc,39137,40178,4.07,4.18,e6405e79
voice,z_osc,58932,59413,6.13,6.18,8fd0220b
voice,variable_shape_osc,11004,11669,1.14,1.21,31359d21
mem,grain_read_sram,29212,29678,3.04,3.09,de55bd08
mem,grain_read_sdram,154373,161959,16.08,16.87,de55bd08
mem,oliverb_sdram,203752,211467,21.22,22.02,e2b0ed6b
mem,echo_walk_sram,1502,1733,0.15,0.18,eef5bd05
mem,echo_walk_sdram,4947,8199,0.51,0.85,eef5bd05
