family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,24,0.00,0.00,ea306fb5
system,mod_plane_2x_center,253084,257596,26.36,26.83,61d42d20
system,synth_1_voice,59406,60310,6.18,6.28,42bccc87
system,synth_2_voices,103846,105331,10.81,10.97,d8de180d
system,synth_4_voices,186998,189755,19.47,19.76,e9a1c12b
system,fx_none,30158,33820,3.14,3.52,f6e77ae9
system,fx_grit,54513,54905,5.67,5.71,087b7265
system,fx_flux_sdram,97882,104445,10.19,10.87,afc899db
system,fx_comp,39963,40781,4.16,4.24,c7e77d03
system,oliverb_solo_sram,186124,188770,19.38,19.66,e2b0ed6b
system,instrument_init,1079300,1207692,112.42,125.80,abee136e
system,instrument_worst,1450711,1499382,151.11,156.18,6c4bb273
voice,morph_osc_bare,8141,8448,0.84,0.88,283a1d87
voice,modal_voice,360948,361752,37.59,37.68,86f76dcb
voice,string_voice,117108,124947,12.19,13.01,e52ad638
voice,resonator,328735,329300,34.24,34.30,ca6f6722
voice,formant_osc,17265,17490,1.79,1.82,5a1e5767
voice,vosim_osc,55014,55392,5.73,5.77,4f6c0bbb
voice,harmonic_osc,28536,29051,2.97,3.02,4deccc28
voice,grainlet_osc,39645,40295,4.12,4.19,e6405e79
voice,z_osc,58965,59344,6.14,6.18,8fd0220b
voice,variable_shape_osc,11103,11727,1.15,1.22,31359d21
mem,grain_read_sram,29203,29764,3.04,3.10,de55bd08
mem,grain_read_sdram,154391,161334,16.08,16.80,de55bd08
mem,oliverb_sdram,204188,214706,21.26,22.36,e2b0ed6b
mem,echo_walk_sram,1500,1697,0.15,0.17,eef5bd05
mem,echo_walk_sdram,4946,7724,0.51,0.80,eef5bd05
mod,lane_flow_shape00,25491,25951,2.65,2.70,c658da9d
mod,lane_flow_shape03,20584,20807,2.14,2.16,b48a421e
mod,lane_flow_shape07,19914,20113,2.07,2.09,90b8af63
mod,lane_flow_shape10,18664,18882,1.94,1.96,e4a20384
mod,lane_step_shape00,11865,12703,1.23,1.32,8291294e
mod,super_mod_5lanes,126916,128616,13.22,13.39,87972e50
mod,center_tick,4831,4948,0.50,0.51,295f48c7
