family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,17,0.00,0.00,ea306fb5
system,mod_plane_2x_center,314850,320921,32.79,33.42,ce4afc9a
system,synth_1_voice,59299,60225,6.17,6.27,42bccc87
system,synth_2_voices,103740,105233,10.80,10.96,d8de180d
system,synth_4_voices,186891,189591,19.46,19.74,e9a1c12b
system,fx_grit,54899,55468,5.71,5.77,087b7265
system,fx_flux_sdram,108307,149695,11.28,15.59,afc899db
system,fx_comp,40643,40896,4.23,4.26,c7e77d03
system,oliverb_solo_sram,182982,186529,19.06,19.43,e2b0ed6b
system,instrument_init,1157392,1288887,120.56,134.25,c74cd458
system,instrument_worst,1527613,1586225,159.12,165.23,15ebbc62
voice,morph_osc_bare,8143,8487,0.84,0.88,283a1d87
voice,modal_voice,360954,361800,37.59,37.68,86f76dcb
voice,string_voice,114520,124104,11.92,12.92,e52ad638
voice,resonator,328727,329816,34.24,34.35,ca6f6722
voice,formant_osc,17270,17476,1.79,1.82,5a1e5767
voice,vosim_osc,54823,55207,5.71,5.75,4f6c0bbb
voice,harmonic_osc,28538,29048,2.97,3.02,4deccc28
voice,grainlet_osc,39137,40051,4.07,4.17,e6405e79
voice,z_osc,58921,59239,6.13,6.17,8fd0220b
voice,variable_shape_osc,11004,11657,1.14,1.21,31359d21
mem,grain_read_sram,29212,29631,3.04,3.08,de55bd08
mem,grain_read_sdram,154421,162627,16.08,16.94,de55bd08
mem,oliverb_sdram,203814,210780,21.23,21.95,e2b0ed6b
mem,echo_walk_sram,1502,1713,0.15,0.17,eef5bd05
mem,echo_walk_sdram,4939,7424,0.51,0.77,eef5bd05
