family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,12,0.00,0.00,ea306fb5
system,mod_plane_2x_center,314752,320849,32.78,33.42,ce4afc9a
system,synth_1_voice,59378,60606,6.18,6.31,42bccc87
system,synth_2_voices,103811,105267,10.81,10.96,d8de180d
system,synth_4_voices,186964,189655,19.47,19.75,e9a1c12b
system,fx_none,31748,31838,3.30,3.31,f6e77ae9
system,fx_grit,54248,54889,5.65,5.71,087b7265
system,fx_flux_sdram,108370,150020,11.28,15.62,afc899db
system,fx_comp,40190,40351,4.18,4.20,c7e77d03
system,oliverb_solo_sram,182734,186352,19.03,19.41,e2b0ed6b
system,instrument_init,1153054,1287169,120.10,134.08,9a860e77
system,instrument_worst,1524986,1571961,158.85,163.74,cdfa507d
voice,morph_osc_bare,8143,8487,0.84,0.88,283a1d87
voice,modal_voice,361047,361864,37.60,37.69,86f76dcb
voice,string_voice,114852,125307,11.96,13.05,e52ad638
voice,resonator,328767,329840,34.24,34.35,ca6f6722
voice,formant_osc,17510,17737,1.82,1.84,5a1e5767
voice,vosim_osc,54923,55297,5.72,5.76,4f6c0bbb
voice,harmonic_osc,28632,29143,2.98,3.03,4deccc28
voice,grainlet_osc,39285,40295,4.09,4.19,e6405e79
voice,z_osc,59034,59403,6.14,6.18,8fd0220b
voice,variable_shape_osc,11265,12562,1.17,1.30,31359d21
mem,grain_read_sram,29210,29650,3.04,3.08,de55bd08
mem,grain_read_sdram,154548,162583,16.09,16.93,de55bd08
mem,oliverb_sdram,203691,211282,21.21,22.00,e2b0ed6b
mem,echo_walk_sram,1503,1721,0.15,0.17,eef5bd05
mem,echo_walk_sdram,4934,8192,0.51,0.85,eef5bd05
