family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,11,0.00,0.00,ea306fb5
system,mod_plane_2x_center,56566,58580,5.89,6.10,61d42d20
system,synth_1_voice,59584,60538,6.20,6.30,42bccc87
system,synth_2_voices,104057,105642,10.83,11.00,d8de180d
system,synth_4_voices,187380,190100,19.51,19.80,e9a1c12b
system,fx_none,30288,30350,3.15,3.16,f6e77ae9
system,fx_grit,53040,53526,5.52,5.57,087b7265
system,fx_flux_sdram,73060,75635,7.61,7.87,6185cf6d
system,fx_comp,37416,37560,3.89,3.91,c7e77d03
system,oliverb_solo_sram,89934,90752,9.36,9.45,f09fa14e
system,instrument_init,587522,699808,61.20,72.89,a21781a5
system,instrument_worst,887482,939821,92.44,97.89,d3eb5114
voice,morph_osc_bare,8141,8448,0.84,0.88,283a1d87
voice,modal_voice,361039,361949,37.60,37.70,86f76dcb
voice,string_voice,116230,124030,12.10,12.91,e52ad638
voice,resonator,328756,329368,34.24,34.30,ca6f6722
voice,formant_osc,17265,17504,1.79,1.82,5a1e5767
voice,vosim_osc,54923,55297,5.72,5.76,4f6c0bbb
voice,harmonic_osc,28537,29052,2.97,3.02,4deccc28
voice,grainlet_osc,39137,40118,4.07,4.17,e6405e79
voice,z_osc,59536,59922,6.20,6.24,8fd0220b
voice,variable_shape_osc,11005,11659,1.14,1.21,31359d21
mem,grain_read_sram,29197,29721,3.04,3.09,de55bd08
mem,grain_read_sdram,154329,161749,16.07,16.84,de55bd08
mem,oliverb_sdram,116449,126344,12.13,13.16,f09fa14e
mem,echo_walk_sram,1500,1715,0.15,0.17,eef5bd05
mem,echo_walk_sdram,4949,7483,0.51,0.77,eef5bd05
mod,lane_flow_shape00,25225,26334,2.62,2.74,c658da9d
mod,lane_flow_shape03,20392,20650,2.12,2.15,b48a421e
mod,lane_flow_shape07,19748,20801,2.05,2.16,90b8af63
mod,lane_flow_shape10,18469,19268,1.92,2.00,e4a20384
mod,lane_step_shape00,11642,12544,1.21,1.30,8291294e
mod,super_mod_5lanes,27502,28179,2.86,2.93,87972e50
mod,center_tick,4952,5034,0.51,0.52,295f48c7
abl,micro_sinf,11190,11235,1.16,1.17,bc112759
abl,micro_tanhf,19855,19924,2.06,2.07,a14ff2c5
abl,micro_powf,18930,18982,1.97,1.97,ff3de3b5
abl,micro_fast_sin,6176,6214,0.64,0.64,63cddd75
abl,part_glue_flow,95610,99731,9.95,10.38,ea306fb5
abl,inst_worst_noflux,769937,800006,80.20,83.33,30ec4dc5
abl,inst_worst_noreverb,783689,844490,81.63,87.96,f2afe800
abl,inst_worst_choked,847551,917445,88.28,95.56,995dbd34
abl,limiter_clean,7619,7662,0.79,0.79,c71498e1
abl,limiter_driven,22357,22409,2.32,2.33,17e01bb9
abl,echo_short_sram,10194,10350,1.06,1.07,9806cc26
abl,echo_short_sdram,11947,12842,1.24,1.33,9806cc26
abl,grit_drive_solo,14628,14679,1.52,1.52,f57bd5c9
abl,grit_reduce_solo,24854,24929,2.58,2.59,5ef36dbb
