family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,11,0.00,0.00,ea306fb5
system,mod_plane_2x_center,56637,58659,5.89,6.11,61d42d20
system,synth_1_voice,59583,60515,6.20,6.30,42bccc87
system,synth_2_voices,104057,105603,10.83,11.00,d8de180d
system,synth_4_voices,187379,190074,19.51,19.79,e9a1c12b
system,fx_none,30672,30930,3.19,3.22,f6e77ae9
system,fx_grit,53348,53600,5.55,5.58,087b7265
system,fx_flux_sdram,68771,73417,7.16,7.64,6185cf6d
system,fx_comp,37398,37492,3.89,3.90,c7e77d03
system,oliverb_solo_sram,90012,90936,9.37,9.47,f09fa14e
system,instrument_init,589946,703837,61.45,73.31,a21781a5
system,instrument_worst,870455,917889,90.67,95.61,d3eb5114
voice,morph_osc_bare,8141,8448,0.84,0.88,283a1d87
voice,modal_voice,361038,361985,37.60,37.70,86f76dcb
voice,string_voice,116063,124194,12.08,12.93,e52ad638
voice,resonator,328760,329374,34.24,34.30,ca6f6722
voice,formant_osc,17361,17568,1.80,1.83,5a1e5767
voice,vosim_osc,54921,55294,5.72,5.75,4f6c0bbb
voice,harmonic_osc,28537,29046,2.97,3.02,4deccc28
voice,grainlet_osc,39245,40010,4.08,4.16,e6405e79
voice,z_osc,59071,59460,6.15,6.19,8fd0220b
voice,variable_shape_osc,11107,11786,1.15,1.22,31359d21
mem,grain_read_sram,29194,29687,3.04,3.09,de55bd08
mem,grain_read_sdram,154318,161714,16.07,16.84,de55bd08
mem,oliverb_sdram,116397,126647,12.12,13.19,f09fa14e
mem,echo_walk_sram,1501,1708,0.15,0.17,eef5bd05
mem,echo_walk_sdram,4926,8059,0.51,0.83,eef5bd05
mod,lane_flow_shape00,25282,25637,2.63,2.67,c658da9d
mod,lane_flow_shape03,20401,20911,2.12,2.17,b48a421e
mod,lane_flow_shape07,19759,20629,2.05,2.14,90b8af63
mod,lane_flow_shape10,18508,19231,1.92,2.00,e4a20384
mod,lane_step_shape00,11647,12544,1.21,1.30,8291294e
mod,super_mod_5lanes,27500,28181,2.86,2.93,87972e50
mod,center_tick,4981,5093,0.51,0.53,295f48c7
abl,micro_sinf,11201,11254,1.16,1.17,bc112759
abl,micro_tanhf,19852,19922,2.06,2.07,a14ff2c5
abl,micro_powf,18930,18984,1.97,1.97,ff3de3b5
abl,micro_fast_sin,6176,6214,0.64,0.64,63cddd75
abl,part_glue_flow,95842,102192,9.98,10.64,ea306fb5
abl,inst_worst_noflux,770798,800070,80.29,83.34,30ec4dc5
abl,inst_worst_noreverb,766200,828674,79.81,86.32,f2afe800
abl,inst_worst_choked,830432,902968,86.50,94.05,995dbd34
abl,limiter_clean,7620,7659,0.79,0.79,c71498e1
abl,limiter_driven,20640,20692,2.15,2.15,17e01bb9
abl,echo_short_sram,8752,8892,0.91,0.92,9806cc26
abl,echo_short_sdram,10607,11396,1.10,1.18,9806cc26
abl,grit_drive_solo,14628,14665,1.52,1.52,f57bd5c9
abl,grit_reduce_solo,25051,25116,2.60,2.61,5ef36dbb
