family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,11,0.00,0.00,ea306fb5
system,mod_plane_2x_center,56667,58678,5.90,6.11,61d42d20
system,synth_1_voice,59584,60557,6.20,6.30,42bccc87
system,synth_2_voices,104071,105741,10.84,11.01,d8de180d
system,synth_4_voices,187380,190023,19.51,19.79,e9a1c12b
system,fx_none,30750,30794,3.20,3.20,f6e77ae9
system,fx_grit,55640,55905,5.79,5.82,087b7265
system,fx_flux_sdram,96703,105265,10.07,10.96,afc899db
system,fx_comp,37574,37656,3.91,3.92,c7e77d03
system,oliverb_solo_sram,91919,92627,9.57,9.64,f09fa14e
system,instrument_init,595230,706958,62.00,73.64,a21781a5
system,instrument_worst,927341,994848,96.59,103.63,55747c19
voice,morph_osc_bare,8141,8486,0.84,0.88,283a1d87
voice,modal_voice,360942,361743,37.59,37.68,86f76dcb
voice,string_voice,116220,124465,12.10,12.96,e52ad638
voice,resonator,328818,329381,34.25,34.31,ca6f6722
voice,formant_osc,17264,17464,1.79,1.81,5a1e5767
voice,vosim_osc,54919,55289,5.72,5.75,4f6c0bbb
voice,harmonic_osc,28548,29045,2.97,3.02,4deccc28
voice,grainlet_osc,38797,39696,4.04,4.13,e6405e79
voice,z_osc,58980,59388,6.14,6.18,8fd0220b
voice,variable_shape_osc,11103,11727,1.15,1.22,31359d21
mem,grain_read_sram,29202,29727,3.04,3.09,de55bd08
mem,grain_read_sdram,154265,163201,16.06,17.00,de55bd08
mem,oliverb_sdram,116666,128766,12.15,13.41,f09fa14e
mem,echo_walk_sram,1501,1700,0.15,0.17,eef5bd05
mem,echo_walk_sdram,4933,7685,0.51,0.80,eef5bd05
mod,lane_flow_shape00,25182,25513,2.62,2.65,c658da9d
mod,lane_flow_shape03,20386,20661,2.12,2.15,b48a421e
mod,lane_flow_shape07,19713,19973,2.05,2.08,90b8af63
mod,lane_flow_shape10,18496,19268,1.92,2.00,e4a20384
mod,lane_step_shape00,11607,12542,1.20,1.30,8291294e
mod,super_mod_5lanes,27502,28158,2.86,2.93,87972e50
mod,center_tick,4894,4985,0.50,0.51,295f48c7
abl,micro_sinf,11191,11242,1.16,1.17,bc112759
abl,micro_tanhf,20081,20164,2.09,2.10,a14ff2c5
abl,micro_powf,18925,18972,1.97,1.97,ff3de3b5
abl,micro_fast_sin,6177,6215,0.64,0.64,63cddd75
abl,part_glue_flow,95774,99363,9.97,10.35,ea306fb5
abl,inst_worst_noflux,793517,847531,82.65,88.28,2df7ef41
abl,inst_worst_noreverb,811797,894673,84.56,93.19,ace506fb
abl,inst_worst_choked,887788,971513,92.47,101.19,3f54e6f1
abl,limiter_clean,7536,7574,0.78,0.78,c71498e1
abl,limiter_driven,35268,35365,3.67,3.68,94f91be0
abl,echo_short_sram,21154,21900,2.20,2.28,d3cc4410
abl,echo_short_sdram,23012,24342,2.39,2.53,d3cc4410
abl,grit_drive_solo,14628,14665,1.52,1.52,f57bd5c9
abl,grit_reduce_solo,24854,24938,2.58,2.59,5ef36dbb
