family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,11,0.00,0.00,ea306fb5
system,mod_plane_2x_center,253176,257783,26.37,26.85,61d42d20
system,synth_1_voice,59326,60236,6.17,6.27,42bccc87
system,synth_2_voices,103766,105248,10.80,10.96,d8de180d
system,synth_4_voices,186919,189624,19.47,19.75,e9a1c12b
system,fx_none,32322,33254,3.36,3.46,f6e77ae9
system,fx_grit,54705,55702,5.69,5.80,087b7265
system,fx_flux_sdram,98739,115512,10.28,12.03,afc899db
system,fx_comp,40171,40485,4.18,4.21,c7e77d03
system,oliverb_solo_sram,186673,188424,19.44,19.62,e2b0ed6b
system,instrument_init,1076880,1207017,112.17,125.73,abee136e
system,instrument_worst,1448033,1498201,150.83,156.06,6c4bb273
voice,morph_osc_bare,8142,8486,0.84,0.88,283a1d87
voice,modal_voice,361039,361848,37.60,37.69,86f76dcb
voice,string_voice,116622,124670,12.14,12.98,e52ad638
voice,resonator,328735,329299,34.24,34.30,ca6f6722
voice,formant_osc,17298,17528,1.80,1.82,5a1e5767
voice,vosim_osc,54921,55290,5.72,5.75,4f6c0bbb
voice,harmonic_osc,28536,29044,2.97,3.02,4deccc28
voice,grainlet_osc,39032,40043,4.06,4.17,e6405e79
voice,z_osc,59060,59366,6.15,6.18,8fd0220b
voice,variable_shape_osc,11007,11656,1.14,1.21,31359d21
mem,grain_read_sram,29197,29659,3.04,3.08,de55bd08
mem,grain_read_sdram,154400,167536,16.08,17.45,de55bd08
mem,oliverb_sdram,205174,212404,21.37,22.12,e2b0ed6b
mem,echo_walk_sram,1501,1683,0.15,0.17,eef5bd05
mem,echo_walk_sdram,4938,7723,0.51,0.80,eef5bd05
mod,lane_flow_shape00,25396,25803,2.64,2.68,c658da9d
mod,lane_flow_shape03,20584,20829,2.14,2.16,b48a421e
mod,lane_flow_shape07,19911,20119,2.07,2.09,90b8af63
mod,lane_flow_shape10,18658,18906,1.94,1.96,e4a20384
mod,lane_step_shape00,11865,12712,1.23,1.32,8291294e
mod,super_mod_5lanes,127285,130422,13.25,13.58,87972e50
mod,center_tick,4846,4968,0.50,0.51,295f48c7
abl,micro_sinf,11291,11343,1.17,1.18,bc112759
abl,micro_tanhf,19945,20016,2.07,2.08,a14ff2c5
abl,micro_powf,18923,18969,1.97,1.97,ff3de3b5
abl,micro_fast_sin,6177,6215,0.64,0.64,63cddd75
abl,part_glue_flow,287313,299791,29.92,31.22,ea306fb5
abl,inst_worst_noflux,1336909,1390030,139.26,144.79,4d399386
abl,inst_worst_noreverb,1219284,1269824,127.00,132.27,e0b08cb8
abl,inst_worst_choked,1353740,1426335,141.01,148.57,2968666f
abl,limiter_clean,7536,7574,0.78,0.78,c71498e1
abl,limiter_driven,35234,35302,3.67,3.67,94f91be0
abl,echo_short_sram,23137,23850,2.41,2.48,d3cc4410
abl,echo_short_sdram,24822,26196,2.58,2.72,d3cc4410
abl,grit_drive_solo,14723,14760,1.53,1.53,f57bd5c9
abl,grit_reduce_solo,26212,26351,2.73,2.74,5ef36dbb
