family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,11,0.00,0.00,ea306fb5
system,mod_plane_2x_center,253254,257898,26.38,26.86,61d42d20
system,synth_1_voice,59608,60645,6.20,6.31,42bccc87
system,synth_2_voices,104092,105652,10.84,11.00,d8de180d
system,synth_4_voices,187319,190040,19.51,19.79,e9a1c12b
system,fx_none,29901,30978,3.11,3.22,f6e77ae9
system,fx_grit,54890,55284,5.71,5.75,087b7265
system,fx_flux_sdram,97605,105633,10.16,11.00,afc899db
system,fx_comp,36806,37169,3.83,3.87,c7e77d03
system,oliverb_solo_sram,91420,92446,9.52,9.62,f09fa14e
system,instrument_init,782155,893476,81.47,93.07,03dbc08b
system,instrument_worst,1126774,1181908,117.37,123.11,75832087
voice,morph_osc_bare,8141,8484,0.84,0.88,283a1d87
voice,modal_voice,360949,361794,37.59,37.68,86f76dcb
voice,string_voice,116153,124367,12.09,12.95,e52ad638
voice,resonator,328818,329827,34.25,34.35,ca6f6722
voice,formant_osc,17267,17531,1.79,1.82,5a1e5767
voice,vosim_osc,54918,55297,5.72,5.76,4f6c0bbb
voice,harmonic_osc,28536,29059,2.97,3.02,4deccc28
voice,grainlet_osc,38796,39696,4.04,4.13,e6405e79
voice,z_osc,59001,59469,6.14,6.19,8fd0220b
voice,variable_shape_osc,11103,11775,1.15,1.22,31359d21
mem,grain_read_sram,29198,29719,3.04,3.09,de55bd08
mem,grain_read_sdram,154273,161762,16.07,16.85,de55bd08
mem,oliverb_sdram,116618,128376,12.14,13.37,f09fa14e
mem,echo_walk_sram,1501,1712,0.15,0.17,eef5bd05
mem,echo_walk_sdram,4940,7693,0.51,0.80,eef5bd05
mod,lane_flow_shape00,25381,25714,2.64,2.67,c658da9d
mod,lane_flow_shape03,20794,21578,2.16,2.24,b48a421e
mod,lane_flow_shape07,19911,20122,2.07,2.09,90b8af63
mod,lane_flow_shape10,18658,18914,1.94,1.97,e4a20384
mod,lane_step_shape00,11861,12716,1.23,1.32,8291294e
mod,super_mod_5lanes,127062,128731,13.23,13.40,87972e50
mod,center_tick,4869,4978,0.50,0.51,295f48c7
abl,micro_sinf,11199,11244,1.16,1.17,bc112759
abl,micro_tanhf,19861,19951,2.06,2.07,a14ff2c5
abl,micro_powf,18924,18969,1.97,1.97,ff3de3b5
abl,micro_fast_sin,6177,6215,0.64,0.64,63cddd75
abl,part_glue_flow,190749,197772,19.86,20.60,ea306fb5
abl,inst_worst_noflux,989957,1054566,103.12,109.85,534f9b26
abl,inst_worst_noreverb,1009783,1075390,105.18,112.01,600e86ac
abl,inst_worst_choked,1031703,1108596,107.46,115.47,db928d10
abl,limiter_clean,7536,7573,0.78,0.78,c71498e1
abl,limiter_driven,35225,35293,3.66,3.67,94f91be0
abl,echo_short_sram,21219,21930,2.21,2.28,d3cc4410
abl,echo_short_sdram,23066,24406,2.40,2.54,d3cc4410
abl,grit_drive_solo,14628,14665,1.52,1.52,f57bd5c9
abl,grit_reduce_solo,24854,24915,2.58,2.59,5ef36dbb
