family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,13,0.00,0.00,ea306fb5
system,mod_plane_2x_center,56540,58400,5.88,6.08,61d42d20
system,synth_1_voice,59494,60496,6.19,6.30,42bccc87
system,synth_2_voices,103968,105503,10.83,10.98,d8de180d
system,synth_4_voices,187194,189855,19.49,19.77,e9a1c12b
system,fx_none,30347,31106,3.16,3.24,f6e77ae9
system,fx_grit,52928,53431,5.51,5.56,087b7265
system,fx_flux_sdram,73316,76101,7.63,7.92,6185cf6d
system,fx_comp,37358,37615,3.89,3.91,c7e77d03
system,oliverb_solo_sram,89945,90800,9.36,9.45,f09fa14e
system,instrument_init,587630,699933,61.21,72.90,a21781a5
system,instrument_worst,887084,937771,92.40,97.68,d3eb5114
voice,morph_osc_bare,8142,8500,0.84,0.88,283a1d87
voice,modal_voice,361082,361973,37.61,37.70,86f76dcb
voice,string_voice,120297,130125,12.53,13.55,e52ad638
voice,resonator,328863,329459,34.25,34.31,ca6f6722
voice,formant_osc,17267,17492,1.79,1.82,5a1e5767
voice,vosim_osc,54924,55323,5.72,5.76,4f6c0bbb
voice,harmonic_osc,28538,29061,2.97,3.02,4deccc28
voice,grainlet_osc,39138,39999,4.07,4.16,e6405e79
voice,z_osc,58965,59284,6.14,6.17,8fd0220b
voice,variable_shape_osc,11021,11716,1.14,1.22,31359d21
mem,grain_read_sram,29211,29738,3.04,3.09,de55bd08
mem,grain_read_sdram,154408,161243,16.08,16.79,de55bd08
mem,oliverb_sdram,116518,127414,12.13,13.27,f09fa14e
mem,echo_walk_sram,1503,1729,0.15,0.18,eef5bd05
mem,echo_walk_sdram,4945,7830,0.51,0.81,eef5bd05
mod,lane_flow_shape00,25288,25690,2.63,2.67,c658da9d
mod,lane_flow_shape03,20491,20750,2.13,2.16,b48a421e
mod,lane_flow_shape07,19818,20037,2.06,2.08,90b8af63
mod,lane_flow_shape10,18571,18806,1.93,1.95,e4a20384
mod,lane_step_shape00,11708,12642,1.21,1.31,8291294e
mod,super_mod_5lanes,27510,28171,2.86,2.93,87972e50
mod,center_tick,4972,5053,0.51,0.52,295f48c7
abl,micro_sinf,11206,11288,1.16,1.17,bc112759
abl,micro_tanhf,19855,19935,2.06,2.07,a14ff2c5
abl,micro_powf,18946,19029,1.97,1.98,ff3de3b5
abl,micro_fast_sin,6177,6232,0.64,0.64,63cddd75
abl,part_glue_flow,95790,100123,9.97,10.42,ea306fb5
abl,inst_worst_noflux,769904,800406,80.19,83.37,30ec4dc5
abl,inst_worst_noreverb,783313,843044,81.59,87.81,f2afe800
abl,inst_worst_choked,847235,918914,88.25,95.72,995dbd34
abl,limiter_clean,7622,7682,0.79,0.80,c71498e1
abl,limiter_driven,22361,22426,2.32,2.33,17e01bb9
abl,echo_short_sram,10196,10362,1.06,1.07,9806cc26
abl,echo_short_sdram,12002,12981,1.25,1.35,9806cc26
abl,grit_drive_solo,14629,14690,1.52,1.53,f57bd5c9
abl,grit_reduce_solo,24857,24952,2.58,2.59,5ef36dbb
dust,dust_16_full,165252,188764,17.21,19.66,fd337037
dust,dust_16_win05,161098,167181,16.78,17.41,0d72b2a9
dust,dust_16_win01,162082,174204,16.88,18.14,f0612f68
dust,dust_8_full,85865,89240,8.94,9.29,b7f656eb
dust,dust_16_rev,164530,172524,17.13,17.97,3eb39aa5
dust,dust_16_wb,179438,204337,18.69,21.28,24e6e360
dust,dust_16_erode,191427,215699,19.94,22.46,0776cadc
dust,dust_16_opt,106908,128163,11.13,13.35,a02d0868
dust,dust_8_opt,59229,66623,6.16,6.93,711030d4
dust,dust_16_opt_erode,127602,144227,13.29,15.02,1990e9e5
