family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,12,0.00,0.00,ea306fb5
system,mod_plane_2x_center,58341,60258,6.07,6.27,61d42d20
system,synth_1_voice,59306,60218,6.17,6.27,42bccc87
system,synth_2_voices,103746,105234,10.80,10.96,d8de180d
system,synth_4_voices,186899,189607,19.46,19.75,e9a1c12b
system,fx_none,30558,30608,3.18,3.18,f6e77ae9
system,fx_grit,54005,54365,5.62,5.66,087b7265
system,fx_flux_sdram,74548,78205,7.76,8.14,6185cf6d
system,fx_comp,38345,38861,3.99,4.04,c7e77d03
system,oliverb_solo_sram,90044,91054,9.37,9.48,f09fa14e
system,instrument_init,596172,710064,62.10,73.96,a21781a5
system,instrument_worst,896418,946661,93.37,98.61,d3eb5114
system,instrument_worst_taps,959263,1017690,99.92,106.00,e974baa3
voice,morph_osc_bare,8140,8486,0.84,0.88,283a1d87
voice,modal_voice,360849,361706,37.58,37.67,86f76dcb
voice,string_voice,116917,124054,12.17,12.92,e52ad638
voice,resonator,328827,329381,34.25,34.31,ca6f6722
voice,formant_osc,17363,17562,1.80,1.82,5a1e5767
voice,vosim_osc,55113,55482,5.74,5.77,4f6c0bbb
voice,harmonic_osc,28537,29049,2.97,3.02,4deccc28
voice,grainlet_osc,39230,39920,4.08,4.15,e6405e79
voice,z_osc,59061,59351,6.15,6.18,8fd0220b
voice,variable_shape_osc,11205,11866,1.16,1.23,31359d21
mem,grain_read_sram,29405,30123,3.06,3.13,de55bd08
mem,grain_read_sdram,154660,169931,16.11,17.70,de55bd08
mem,oliverb_sdram,116529,127648,12.13,13.29,f09fa14e
mem,echo_walk_sram,1502,1710,0.15,0.17,eef5bd05
mem,echo_walk_sdram,4947,7570,0.51,0.78,eef5bd05
mod,lane_flow_shape00,25383,25777,2.64,2.68,c658da9d
mod,lane_flow_shape03,20583,20854,2.14,2.17,b48a421e
mod,lane_flow_shape07,19911,20179,2.07,2.10,90b8af63
mod,lane_flow_shape10,18680,19613,1.94,2.04,e4a20384
mod,lane_step_shape00,11800,12736,1.22,1.32,8291294e
mod,super_mod_5lanes,28223,28949,2.93,3.01,87972e50
mod,center_tick,4867,4968,0.50,0.51,295f48c7
abl,micro_sinf,11187,11255,1.16,1.17,bc112759
abl,micro_tanhf,19843,19928,2.06,2.07,a14ff2c5
abl,micro_powf,18923,18972,1.97,1.97,ff3de3b5
abl,micro_fast_sin,6178,6216,0.64,0.64,63cddd75
abl,part_glue_flow,98347,105260,10.24,10.96,ea306fb5
abl,inst_worst_noflux,784801,815012,81.75,84.89,30ec4dc5
abl,inst_worst_noreverb,794331,841184,82.74,87.62,f2afe800
abl,inst_worst_nogrit,854390,902037,88.99,93.96,9eac08fc
abl,inst_worst_choked,854492,922412,89.00,96.08,cd90d415
abl,limiter_clean,7621,7666,0.79,0.79,c71498e1
abl,limiter_driven,22359,22412,2.32,2.33,17e01bb9
abl,echo_short_sram,10195,10347,1.06,1.07,9806cc26
abl,echo_short_sdram,12013,12811,1.25,1.33,9806cc26
abl,grit_drive_solo,14663,14732,1.52,1.53,f57bd5c9
abl,grit_reduce_solo,27040,27687,2.81,2.88,5ef36dbb
taps,taps_2_opt,33578,34082,3.49,3.55,98f63683
taps,tap_read_sdram,20377,22121,2.12,2.30,e8b16665
