family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,13,0.00,0.00,ea306fb5
system,mod_plane_2x_center,57786,59671,6.01,6.21,61d42d20
system,synth_1_voice,60379,61445,6.28,6.40,42bccc87
system,synth_2_voices,105504,107451,10.99,11.19,d8de180d
system,synth_4_voices,188937,191932,19.68,19.99,e9a1c12b
system,fx_none,29981,30043,3.12,3.12,f6e77ae9
system,fx_grit,56493,57019,5.88,5.93,087b7265
system,fx_flux_sdram,76113,79031,7.92,8.23,6185cf6d
system,fx_comp,37364,37514,3.89,3.90,c7e77d03
system,oliverb_solo_sram,89963,91177,9.37,9.49,f09fa14e
system,instrument_init,604634,720273,62.98,75.02,a21781a5
system,instrument_worst,915739,966851,95.38,100.71,d3eb5114
voice,morph_osc_bare,8140,8449,0.84,0.88,283a1d87
voice,modal_voice,360978,361999,37.60,37.70,86f76dcb
voice,string_voice,117464,123824,12.23,12.89,e52ad638
voice,resonator,329589,330359,34.33,34.41,ca6f6722
voice,formant_osc,17361,17568,1.80,1.83,5a1e5767
voice,vosim_osc,55014,55382,5.73,5.76,4f6c0bbb
voice,harmonic_osc,28537,29055,2.97,3.02,4deccc28
voice,grainlet_osc,39013,39957,4.06,4.16,e6405e79
voice,z_osc,59084,59501,6.15,6.19,8fd0220b
voice,variable_shape_osc,11438,12987,1.19,1.35,31359d21
mem,grain_read_sram,29422,30109,3.06,3.13,de55bd08
mem,grain_read_sdram,154749,169905,16.11,17.69,de55bd08
mem,oliverb_sdram,116456,128721,12.13,13.40,f09fa14e
mem,echo_walk_sram,1503,1724,0.15,0.17,eef5bd05
mem,echo_walk_sdram,4939,7885,0.51,0.82,eef5bd05
mod,lane_flow_shape00,26473,27191,2.75,2.83,c658da9d
mod,lane_flow_shape03,21065,21337,2.19,2.22,b48a421e
mod,lane_flow_shape07,20394,20658,2.12,2.15,90b8af63
mod,lane_flow_shape10,19144,19396,1.99,2.02,e4a20384
mod,lane_step_shape00,12282,13218,1.27,1.37,8291294e
mod,super_mod_5lanes,27996,28648,2.91,2.98,87972e50
mod,center_tick,4858,4984,0.50,0.51,295f48c7
abl,micro_sinf,11200,11245,1.16,1.17,bc112759
abl,micro_tanhf,19941,20015,2.07,2.08,a14ff2c5
abl,micro_powf,19024,19069,1.98,1.98,ff3de3b5
abl,micro_fast_sin,6178,6216,0.64,0.64,63cddd75
abl,part_glue_flow,99444,105377,10.35,10.97,ea306fb5
abl,inst_worst_noflux,795448,829991,82.85,86.45,30ec4dc5
abl,inst_worst_noreverb,811399,861490,84.52,89.73,f2afe800
abl,inst_worst_nogrit,881793,940980,91.85,98.01,9eac08fc
abl,inst_worst_choked,867706,937974,90.38,97.70,cd90d415
abl,limiter_clean,7622,7660,0.79,0.79,c71498e1
abl,limiter_driven,22311,22357,2.32,2.32,17e01bb9
abl,echo_short_sram,10211,10347,1.06,1.07,9806cc26
abl,echo_short_sdram,12043,12960,1.25,1.35,9806cc26
abl,grit_drive_solo,14735,14773,1.53,1.53,f57bd5c9
abl,grit_reduce_solo,25333,25497,2.63,2.65,5ef36dbb
taps,taps_2_opt,33385,34109,3.47,3.55,98f63683
taps,tap_read_sdram,20491,22254,2.13,2.31,e8b16665
