family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,12,0.00,0.00,ea306fb5
system,mod_plane_2x_center,61380,63064,6.39,6.56,61d42d20
system,synth_1_voice,59404,60306,6.18,6.28,42bccc87
system,synth_2_voices,103843,105302,10.81,10.96,d8de180d
system,synth_4_voices,186995,189739,19.47,19.76,e9a1c12b
system,fx_none,29792,29850,3.10,3.10,f6e77ae9
system,fx_grit,54054,54288,5.63,5.65,087b7265
system,fx_flux_sdram,74363,77516,7.74,8.07,6185cf6d
system,fx_comp,37774,38010,3.93,3.95,c7e77d03
system,oliverb_solo_sram,90028,90939,9.37,9.47,f09fa14e
system,instrument_init,600923,713943,62.59,74.36,a21781a5
system,instrument_worst,895165,944583,93.24,98.39,d3eb5114
system,instrument_worst_taps,943970,990949,98.33,103.22,e974baa3
voice,morph_osc_bare,8142,8484,0.84,0.88,283a1d87
voice,modal_voice,360942,361790,37.59,37.68,86f76dcb
voice,string_voice,116878,124037,12.17,12.92,e52ad638
voice,resonator,328738,329294,34.24,34.30,ca6f6722
voice,formant_osc,17723,17927,1.84,1.86,5a1e5767
voice,vosim_osc,55346,55724,5.76,5.80,4f6c0bbb
voice,harmonic_osc,28537,29046,2.97,3.02,4deccc28
voice,grainlet_osc,39058,40379,4.06,4.20,e6405e79
voice,z_osc,59110,59412,6.15,6.18,8fd0220b
voice,variable_shape_osc,11007,11657,1.14,1.21,31359d21
mem,grain_read_sram,29204,29640,3.04,3.08,de55bd08
mem,grain_read_sdram,154352,167972,16.07,17.49,de55bd08
mem,oliverb_sdram,116425,126713,12.12,13.19,f09fa14e
mem,echo_walk_sram,1500,1666,0.15,0.17,eef5bd05
mem,echo_walk_sdram,4933,8256,0.51,0.86,eef5bd05
mod,lane_flow_shape00,25094,25480,2.61,2.65,c658da9d
mod,lane_flow_shape03,20295,20548,2.11,2.14,b48a421e
mod,lane_flow_shape07,19622,19872,2.04,2.07,90b8af63
mod,lane_flow_shape10,18787,19266,1.95,2.00,e4a20384
mod,lane_step_shape00,11521,12449,1.20,1.29,8291294e
mod,super_mod_5lanes,29765,32997,3.10,3.43,87972e50
mod,center_tick,4860,4969,0.50,0.51,295f48c7
abl,micro_sinf,11490,11559,1.19,1.20,bc112759
abl,micro_tanhf,20933,21075,2.18,2.19,a14ff2c5
abl,micro_powf,18923,18975,1.97,1.97,ff3de3b5
abl,micro_fast_sin,6179,6217,0.64,0.64,63cddd75
abl,part_glue_flow,105436,108568,10.98,11.30,ea306fb5
abl,inst_worst_noflux,788413,819333,82.12,85.34,30ec4dc5
abl,inst_worst_noreverb,796654,844982,82.98,88.01,f2afe800
abl,inst_worst_nogrit,855124,904677,89.07,94.23,9eac08fc
abl,inst_worst_choked,856921,922984,89.26,96.14,cd90d415
abl,limiter_clean,7626,7670,0.79,0.79,c71498e1
abl,limiter_driven,22314,22368,2.32,2.33,17e01bb9
abl,echo_short_sram,10223,10374,1.06,1.08,9806cc26
abl,echo_short_sdram,12003,12856,1.25,1.33,9806cc26
abl,grit_drive_solo,14660,14698,1.52,1.53,f57bd5c9
abl,grit_reduce_solo,26286,26455,2.73,2.75,5ef36dbb
taps,taps_2_opt,33640,34218,3.50,3.56,98f63683
taps,tap_read_sdram,20532,23043,2.13,2.40,e8b16665
sampler,sampler_flow_typ,108978,140725,11.35,14.65,247b22df
sampler,sampler_flow_worst,176583,237019,18.39,24.68,c3df82cc
sampler,sampler_overdub_worst,196335,246540,20.45,25.68,a1d410b2
sampler,sampler_scan_ctrl,179811,238042,18.73,24.79,eff84013
sampler,sampler_win_sram,146145,190549,15.22,19.84,906cbfc8
sampler,sampler_win_sdram,170546,221169,17.76,23.03,906cbfc8
sampler,inst_sampler_worst,881330,1124228,91.80,117.10,ae856249
sampler,sampler_worst_slowspawn,181643,234136,18.92,24.38,643a6520
sampler,inst_sampler_nomotion,881428,1126428,91.81,117.33,5e81d9c4
sampler,inst_sampler_slowspawn,808041,1356366,84.17,141.28,83d270e8
sampler,inst_sampler_noflux,768261,989356,80.02,103.05,6ed62c1b
sampler,inst_sampler_noreverb,772643,1010272,80.48,105.23,7b827fdd
sampler,inst_sampler_onepart,900809,1054678,93.83,109.86,01814fa9
