family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,12,0.00,0.00,ea306fb5
system,mod_plane_2x_center,60911,63078,6.34,6.57,61d42d20
system,synth_1_voice,49947,50874,5.20,5.29,42bccc87
system,synth_2_voices,90488,91950,9.42,9.57,d8de180d
system,synth_4_voices,165568,168147,17.24,17.51,e9a1c12b
system,fx_none,24604,24641,2.56,2.56,b538ce01
system,fx_grit,45724,45795,4.76,4.77,74f9b9f5
system,fx_flux_sdram,65330,67424,6.80,7.02,9ca91007
system,fx_comp,31420,31505,3.27,3.28,47a4392b
system,oliverb_solo_sram,90053,90893,9.38,9.46,f09fa14e
system,instrument_init,572358,671988,59.62,69.99,90e2cae8
system,instrument_worst,861581,899741,89.74,93.72,c76ff03e
system,instrument_worst_taps,906991,951868,94.47,99.15,5c77db72
voice,morph_osc_bare,8142,8449,0.84,0.88,283a1d87
voice,modal_voice,361302,362032,37.63,37.71,86f76dcb
voice,string_voice,111473,119480,11.61,12.44,e52ad638
voice,resonator,328923,329477,34.26,34.32,ca6f6722
voice,formant_osc,17268,17490,1.79,1.82,5a1e5767
voice,vosim_osc,54926,55288,5.72,5.75,4f6c0bbb
voice,harmonic_osc,28537,29046,2.97,3.02,4deccc28
voice,grainlet_osc,38337,39039,3.99,4.06,e6405e79
voice,z_osc,59034,59360,6.14,6.18,8fd0220b
voice,variable_shape_osc,11014,11668,1.14,1.21,31359d21
mem,grain_read_sram,29268,29788,3.04,3.10,de55bd08
mem,grain_read_sdram,154467,163907,16.09,17.07,de55bd08
mem,oliverb_sdram,116523,126309,12.13,13.15,f09fa14e
mem,echo_walk_sram,1502,1680,0.15,0.17,eef5bd05
mem,echo_walk_sdram,4939,8116,0.51,0.84,eef5bd05
mod,lane_flow_shape00,25201,25584,2.62,2.66,c658da9d
mod,lane_flow_shape03,20392,21341,2.12,2.22,b48a421e
mod,lane_flow_shape07,19730,19978,2.05,2.08,90b8af63
mod,lane_flow_shape10,18469,18696,1.92,1.94,e4a20384
mod,lane_step_shape00,11614,12552,1.20,1.30,8291294e
mod,super_mod_5lanes,29458,30211,3.06,3.14,87972e50
mod,center_tick,4857,4963,0.50,0.51,295f48c7
abl,micro_sinf,11518,11574,1.19,1.20,bc112759
abl,micro_tanhf,20351,20415,2.11,2.12,a14ff2c5
abl,micro_powf,18936,18990,1.97,1.97,ff3de3b5
abl,micro_fast_sin,6177,6215,0.64,0.64,63cddd75
abl,part_glue_flow,99261,102982,10.33,10.72,ea306fb5
abl,inst_worst_noflux,753658,786488,78.50,81.92,6d786cc9
abl,inst_worst_noreverb,752049,792933,78.33,82.59,f2afe800
abl,inst_worst_nogrit,825647,871009,86.00,90.73,7146d09d
abl,inst_worst_choked,821859,887068,85.61,92.40,7ea90381
abl,limiter_clean,7626,7679,0.79,0.79,c71498e1
abl,limiter_driven,22364,22436,2.32,2.33,17e01bb9
abl,echo_short_sram,10195,10349,1.06,1.07,9806cc26
abl,echo_short_sdram,12042,12821,1.25,1.33,9806cc26
abl,grit_drive_solo,14812,15622,1.54,1.62,f57bd5c9
abl,grit_reduce_solo,24992,25049,2.60,2.60,5ef36dbb
taps,taps_2_opt,33600,34210,3.50,3.56,98f63683
taps,tap_read_sdram,20565,23044,2.14,2.40,e8b16665
sampler,sampler_flow_typ,95538,127636,9.95,13.29,e79174a5
sampler,sampler_flow_worst,160897,192178,16.76,20.01,dd280be2
sampler,sampler_overdub_worst,178379,216129,18.58,22.51,bfc61a37
sampler,sampler_scan_ctrl,164544,195928,17.14,20.40,2c7073fb
sampler,sampler_win_sram,131319,154805,13.67,16.12,2318bea8
sampler,sampler_win_sdram,154456,188767,16.08,19.66,2318bea8
sampler,inst_sampler_worst,820366,1025549,85.45,106.82,4aabb643
sampler,sampler_worst_slowspawn,159344,203035,16.59,21.14,720e1077
sampler,inst_sampler_nomotion,807312,952501,84.09,99.21,c4d104fe
sampler,inst_sampler_slowspawn,742354,1277907,77.32,133.11,902ce159
sampler,inst_sampler_noflux,702142,828139,73.13,86.26,f93d4571
sampler,inst_sampler_noreverb,690780,827499,71.95,86.19,e15d13d5
sampler,inst_sampler_onepart,846852,941222,88.21,98.04,e830e6c0
sampler,sampler_worst_nomotion,131777,133595,13.72,13.91,af9daaf0
