family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,12,0.00,0.00,ea306fb5
system,mod_plane_2x_center,61399,63467,6.39,6.61,61d42d20
system,synth_1_voice,59486,60414,6.19,6.29,42bccc87
system,synth_2_voices,103926,105408,10.82,10.98,d8de180d
system,synth_4_voices,187078,189778,19.48,19.76,e9a1c12b
system,fx_none,30693,30741,3.19,3.20,f6e77ae9
system,fx_grit,53604,53834,5.58,5.60,087b7265
system,fx_flux_sdram,74134,77673,7.72,8.09,6185cf6d
system,fx_comp,37319,37406,3.88,3.89,c7e77d03
system,oliverb_solo_sram,90092,91074,9.38,9.48,f09fa14e
system,instrument_init,604167,716616,62.93,74.64,a21781a5
system,instrument_worst,890928,942156,92.80,98.14,d3eb5114
system,instrument_worst_taps,941689,992547,98.09,103.39,e974baa3
voice,morph_osc_bare,8142,8486,0.84,0.88,283a1d87
voice,modal_voice,360945,361798,37.59,37.68,86f76dcb
voice,string_voice,117228,124500,12.21,12.96,e52ad638
voice,resonator,329006,329568,34.27,34.33,ca6f6722
voice,formant_osc,17648,17857,1.83,1.86,5a1e5767
voice,vosim_osc,55143,55524,5.74,5.78,4f6c0bbb
voice,harmonic_osc,28537,29035,2.97,3.02,4deccc28
voice,grainlet_osc,38874,39707,4.04,4.13,e6405e79
voice,z_osc,59064,59454,6.15,6.19,8fd0220b
voice,variable_shape_osc,11007,11659,1.14,1.21,31359d21
mem,grain_read_sram,29201,29626,3.04,3.08,de55bd08
mem,grain_read_sdram,154253,163835,16.06,17.06,de55bd08
mem,oliverb_sdram,116686,126174,12.15,13.14,f09fa14e
mem,echo_walk_sram,1501,1706,0.15,0.17,eef5bd05
mem,echo_walk_sdram,4958,8214,0.51,0.85,eef5bd05
mod,lane_flow_shape00,25211,26334,2.62,2.74,c658da9d
mod,lane_flow_shape03,20385,20642,2.12,2.15,b48a421e
mod,lane_flow_shape07,19739,20574,2.05,2.14,90b8af63
mod,lane_flow_shape10,18472,18685,1.92,1.94,e4a20384
mod,lane_step_shape00,11618,13086,1.21,1.36,8291294e
mod,super_mod_5lanes,29797,30729,3.10,3.20,87972e50
mod,center_tick,4843,4935,0.50,0.51,295f48c7
abl,micro_sinf,11492,11565,1.19,1.20,bc112759
abl,micro_tanhf,20359,20454,2.12,2.13,a14ff2c5
abl,micro_powf,18923,18969,1.97,1.97,ff3de3b5
abl,micro_fast_sin,6178,6216,0.64,0.64,63cddd75
abl,part_glue_flow,105080,109272,10.94,11.38,ea306fb5
abl,inst_worst_noflux,787433,818875,82.02,85.29,30ec4dc5
abl,inst_worst_noreverb,787668,837431,82.04,87.23,f2afe800
abl,inst_worst_nogrit,856659,903106,89.23,94.07,9eac08fc
abl,inst_worst_choked,856570,921200,89.22,95.95,cd90d415
abl,limiter_clean,7625,7668,0.79,0.79,c71498e1
abl,limiter_driven,22314,22367,2.32,2.32,17e01bb9
abl,echo_short_sram,10224,10405,1.06,1.08,9806cc26
abl,echo_short_sdram,12028,12811,1.25,1.33,9806cc26
abl,grit_drive_solo,14662,14702,1.52,1.53,f57bd5c9
abl,grit_reduce_solo,25382,25651,2.64,2.67,5ef36dbb
taps,taps_2_opt,33636,34210,3.50,3.56,98f63683
taps,tap_read_sdram,20556,23046,2.14,2.40,e8b16665
sampler,sampler_flow_typ,109080,140819,11.36,14.66,247b22df
sampler,sampler_flow_worst,171274,198974,17.84,20.72,338a6342
sampler,sampler_overdub_worst,191522,217502,19.95,22.65,b7c85084
sampler,sampler_scan_ctrl,174576,199221,18.18,20.75,c614d574
sampler,sampler_win_sram,142292,159720,14.82,16.63,745bb567
sampler,sampler_win_sdram,165700,189046,17.26,19.69,745bb567
sampler,inst_sampler_worst,885378,1088517,92.22,113.38,f121544d
sampler,sampler_worst_slowspawn,165262,208819,17.21,21.75,4a864dcd
sampler,inst_sampler_nomotion,871785,1014794,90.81,105.70,e4962d4f
sampler,inst_sampler_slowspawn,804231,1316509,83.77,137.13,8bdbccb7
sampler,inst_sampler_noflux,766505,880157,79.84,91.68,7f01d71f
sampler,inst_sampler_noreverb,758795,895108,79.04,93.24,7343d6d7
sampler,inst_sampler_onepart,896783,987955,93.41,102.91,933a1cb1
sampler,sampler_worst_nomotion,145663,147658,15.17,15.38,7b583dc0
