family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,12,0.00,0.00,ea306fb5
system,mod_plane_2x_center,61396,63448,6.39,6.60,61d42d20
system,synth_1_voice,59493,60438,6.19,6.29,42bccc87
system,synth_2_voices,103933,105413,10.82,10.98,d8de180d
system,synth_4_voices,187078,189788,19.48,19.76,e9a1c12b
system,fx_none,30750,30795,3.20,3.20,f6e77ae9
system,fx_grit,53567,53858,5.57,5.61,087b7265
system,fx_flux_sdram,73879,75005,7.69,7.81,6185cf6d
system,fx_comp,37321,37406,3.88,3.89,c7e77d03
system,oliverb_solo_sram,90092,90959,9.38,9.47,f09fa14e
system,instrument_init,604397,716683,62.95,74.65,a21781a5
system,instrument_worst,890891,941708,92.80,98.09,d3eb5114
system,instrument_worst_taps,941698,992730,98.09,103.40,e974baa3
voice,morph_osc_bare,8142,8449,0.84,0.88,283a1d87
voice,modal_voice,360949,361802,37.59,37.68,86f76dcb
voice,string_voice,117201,124372,12.20,12.95,e52ad638
voice,resonator,329008,329568,34.27,34.33,ca6f6722
voice,formant_osc,17646,17868,1.83,1.86,5a1e5767
voice,vosim_osc,55143,55540,5.74,5.78,4f6c0bbb
voice,harmonic_osc,28537,29042,2.97,3.02,4deccc28
voice,grainlet_osc,38763,39661,4.03,4.13,e6405e79
voice,z_osc,59063,59375,6.15,6.18,8fd0220b
voice,variable_shape_osc,11006,11662,1.14,1.21,31359d21
mem,grain_read_sram,29200,29696,3.04,3.09,de55bd08
mem,grain_read_sdram,154307,161243,16.07,16.79,de55bd08
mem,oliverb_sdram,116522,125708,12.13,13.09,f09fa14e
mem,echo_walk_sram,1501,1708,0.15,0.17,eef5bd05
mem,echo_walk_sdram,4945,8314,0.51,0.86,eef5bd05
mod,lane_flow_shape00,25213,26334,2.62,2.74,c658da9d
mod,lane_flow_shape03,20385,20649,2.12,2.15,b48a421e
mod,lane_flow_shape07,19738,20574,2.05,2.14,90b8af63
mod,lane_flow_shape10,18472,18693,1.92,1.94,e4a20384
mod,lane_step_shape00,11620,13132,1.21,1.36,8291294e
mod,super_mod_5lanes,29786,30623,3.10,3.18,87972e50
mod,center_tick,4843,4945,0.50,0.51,295f48c7
abl,micro_sinf,11494,11565,1.19,1.20,bc112759
abl,micro_tanhf,20362,20448,2.12,2.13,a14ff2c5
abl,micro_powf,18923,18974,1.97,1.97,ff3de3b5
abl,micro_fast_sin,6178,6216,0.64,0.64,63cddd75
abl,part_glue_flow,104991,109484,10.93,11.40,ea306fb5
abl,inst_worst_noflux,787432,819009,82.02,85.31,30ec4dc5
abl,inst_worst_noreverb,787834,834355,82.06,86.91,f2afe800
abl,inst_worst_nogrit,856679,905258,89.23,94.29,9eac08fc
abl,inst_worst_choked,856646,925186,89.23,96.37,cd90d415
abl,limiter_clean,7624,7665,0.79,0.79,c71498e1
abl,limiter_driven,22316,22373,2.32,2.33,17e01bb9
abl,echo_short_sram,10224,10410,1.06,1.08,9806cc26
abl,echo_short_sdram,12004,12918,1.25,1.34,9806cc26
abl,grit_drive_solo,14663,14701,1.52,1.53,f57bd5c9
abl,grit_reduce_solo,25388,25736,2.64,2.68,5ef36dbb
taps,taps_2_opt,33618,34180,3.50,3.56,98f63683
taps,tap_read_sdram,20502,23296,2.13,2.42,e8b16665
sampler,sampler_flow_typ,109059,141020,11.36,14.68,247b22df
sampler,sampler_flow_worst,175443,207370,18.27,21.60,1a5b1e6a
sampler,sampler_overdub_worst,195410,234574,20.35,24.43,2a9b783f
sampler,sampler_scan_ctrl,178684,211078,18.61,21.98,42d930e9
sampler,sampler_win_sram,145431,169522,15.14,17.65,388838b8
sampler,sampler_win_sdram,169661,203270,17.67,21.17,388838b8
sampler,inst_sampler_worst,885626,1086069,92.25,113.13,d0b724cc
sampler,sampler_worst_slowspawn,173728,217761,18.09,22.68,8d8848ac
sampler,inst_sampler_nomotion,872160,1031831,90.85,107.48,8f6dff62
sampler,inst_sampler_slowspawn,805572,1350791,83.91,140.70,69d6b600
sampler,inst_sampler_noflux,766894,893018,79.88,93.02,ed519992
sampler,inst_sampler_noreverb,758995,909551,79.06,94.74,03a2e9b0
sampler,inst_sampler_onepart,896919,1000815,93.42,104.25,d5fca16b
sampler,sampler_worst_nomotion,145788,147685,15.18,15.38,6f56c387
